1.00  0.00  0.00 1 1 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 2 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 3 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 4 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 5 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 6 4.0000  0.0100  0.0000
1.00  0.00  0.00 1 7 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 1 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 2 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 3 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 4 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 5 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 6 4.0000  0.0100  0.0000
2.00  0.00  0.00 2 7 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 1 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 2 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 3 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 4 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 5 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 6 4.0000  0.0100  0.0000
3.00  0.00  0.00 3 7 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 1 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 2 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 3 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 4 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 5 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 6 4.0000  0.0100  0.0000
4.00  0.00  0.00 4 7 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 1 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 2 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 3 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 4 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 5 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 6 4.0000  0.0100  0.0000
5.00  0.00  0.00 5 7 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 1 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 2 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 3 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 4 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 5 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 6 4.0000  0.0100  0.0000
6.00  0.00  0.00 6 7 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 1 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 2 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 3 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 4 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 5 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 6 4.0000  0.0100  0.0000
7.00  0.00  0.00 7 7 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 1 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 2 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 3 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 4 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 5 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 6 4.0000  0.0100  0.0000
8.00  0.00  0.00 8 7 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 1 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 2 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 3 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 4 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 5 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 6 4.0000  0.0100  0.0000
9.00  0.00  0.00 9 7 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 1 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 2 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 3 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 4 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 5 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 6 4.0000  0.0100  0.0000
10.00  0.00  0.00 10 7 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 1 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 2 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 3 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 4 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 5 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 6 4.0000  0.0100  0.0000
11.00  0.00  0.00 11 7 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 1 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 2 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 3 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 4 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 5 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 6 4.0000  0.0100  0.0000
12.00  0.00  0.00 12 7 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 1 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 2 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 3 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 4 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 5 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 6 4.0000  0.0100  0.0000
13.00  0.00  0.00 13 7 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 1 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 2 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 3 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 4 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 5 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 6 4.0000  0.0100  0.0000
14.00  0.00  0.00 14 7 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 1 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 2 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 3 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 4 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 5 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 6 4.0000  0.0100  0.0000
15.00  0.00  0.00 15 7 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 1 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 2 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 3 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 4 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 5 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 6 4.0000  0.0100  0.0000
16.00  0.00  0.00 16 7 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 1 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 2 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 3 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 4 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 5 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 6 4.0000  0.0100  0.0000
17.00  0.00  0.00 17 7 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 1 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 2 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 3 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 4 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 5 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 6 4.0000  0.0100  0.0000
18.00  0.00  0.00 18 7 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 1 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 2 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 3 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 4 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 5 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 6 4.0000  0.0100  0.0000
19.00  0.00  0.00 19 7 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 1 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 2 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 3 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 4 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 5 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 6 4.0000  0.0100  0.0000
20.00  0.00  0.00 20 7 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 1 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 2 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 3 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 4 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 5 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 6 4.0000  0.0100  0.0000
21.00  0.00  0.00 21 7 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 1 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 2 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 3 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 4 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 5 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 6 4.0000  0.0100  0.0000
22.00  0.00  0.00 22 7 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 1 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 2 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 3 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 4 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 5 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 6 4.0000  0.0100  0.0000
23.00  0.00  0.00 23 7 4.0000  0.0100  0.0000
