1,0,0,1,1530,1,1,1.0671251044053824+52.019337326549561i
1,0,0,1,8250,1,1,12.473955446320245+272.6373337925026i
1,0,0,1,20370,1,1,45.578137561435831+654.28089056049589i
1,0,0,1,33030,1,1,90.273016061787146+1038.5053084437895i
1,0,0,1,47970,1,1,152.14834054852491+1477.8324093439965i
1,0,0,1,63090,1,1,222.42797691382899+1909.8641493261644i
1,0,0,1,93090,1,1,379.14882482319911+2736.5436896050605i
2,0,0,2,1530,1,1,1.0671251044053824+52.019337326549561i
2,0,0,2,8250,1,1,12.473955446320245+272.6373337925026i
2,0,0,2,20370,1,1,45.578137561435831+654.28089056049589i
2,0,0,2,33030,1,1,90.273016061787146+1038.5053084437895i
2,0,0,2,47970,1,1,152.14834054852491+1477.8324093439965i
2,0,0,2,63090,1,1,222.42797691382899+1909.8641493261644i
2,0,0,2,93090,1,1,379.14882482319911+2736.5436896050605i
3,0,0,3,1530,1,1,1.0671251044053824+52.019337326549561i
3,0,0,3,8250,1,1,12.473955446320245+272.6373337925026i
3,0,0,3,20370,1,1,45.578137561435831+654.28089056049589i
3,0,0,3,33030,1,1,90.273016061787146+1038.5053084437895i
3,0,0,3,47970,1,1,152.14834054852491+1477.8324093439965i
3,0,0,3,63090,1,1,222.42797691382899+1909.8641493261644i
3,0,0,3,93090,1,1,379.14882482319911+2736.5436896050605i
4,0,0,4,1530,1,1,1.0671251044053824+52.019337326549561i
4,0,0,4,8250,1,1,12.473955446320245+272.6373337925026i
4,0,0,4,20370,1,1,45.578137561435831+654.28089056049589i
4,0,0,4,33030,1,1,90.273016061787146+1038.5053084437895i
4,0,0,4,47970,1,1,152.14834054852491+1477.8324093439965i
4,0,0,4,63090,1,1,222.42797691382899+1909.8641493261644i
4,0,0,4,93090,1,1,379.14882482319911+2736.5436896050605i
5,0,0,5,1530,1,1,1.0671251044053824+52.019337326549561i
5,0,0,5,8250,1,1,12.473955446320245+272.6373337925026i
5,0,0,5,20370,1,1,45.578137561435831+654.28089056049589i
5,0,0,5,33030,1,1,90.273016061787146+1038.5053084437895i
5,0,0,5,47970,1,1,152.14834054852491+1477.8324093439965i
5,0,0,5,63090,1,1,222.42797691382899+1909.8641493261644i
5,0,0,5,93090,1,1,379.14882482319911+2736.5436896050605i
6,0,0,6,1530,1,1,1.0671251044053824+52.019337326549561i
6,0,0,6,8250,1,1,12.473955446320245+272.6373337925026i
6,0,0,6,20370,1,1,45.578137561435831+654.28089056049589i
6,0,0,6,33030,1,1,90.273016061787146+1038.5053084437895i
6,0,0,6,47970,1,1,152.14834054852491+1477.8324093439965i
6,0,0,6,63090,1,1,222.42797691382899+1909.8641493261644i
6,0,0,6,93090,1,1,379.14882482319911+2736.5436896050605i
7,0,0,7,1530,1,1,1.0671251044053824+52.019337326549561i
7,0,0,7,8250,1,1,12.473955446320245+272.6373337925026i
7,0,0,7,20370,1,1,45.578137561435831+654.28089056049589i
7,0,0,7,33030,1,1,90.273016061787146+1038.5053084437895i
7,0,0,7,47970,1,1,152.14834054852491+1477.8324093439965i
7,0,0,7,63090,1,1,222.42797691382899+1909.8641493261644i
